1,694,5302,8800,4181,15100,15648,10495,10656,1084,10257,13586,8408,16892,16507,4057,845,15192,10056,15543,8573
2,11212,4733,2115,3062,15376,3206,13127,13613,11879,3891,8146,2991,11689,4101,11393,1952,9560,7195,4711,17142
3,3301,11059,4450,5655,15029,707,7293,8024,14173,16939,7998,895,3421,7571,17396,17540,13453,586,13841,4628
4,4358,4087,13915,6135,6660,7528,3786,4992,7310,6562,14026,13044,10106,13325,13740,15173,15771,11692,207,2934
5,10611,8747,5138,12375,9691,13329,17160,3175,2700,5892,14845,91,5081,10223,3939,5381,5772,10535,17713,16221
6,16923,15718,15747,13660,11655,949,4684,17466,2684,3915,8433,4499,11423,17410,13832,10389,14009,14757,14786,13303
7,6009,13891,5011,16574,10303,9700,14597,13038,14354,1519,11444,2231,16170,1928,14292,3644,7013,12281,4637,11953
8,8637,14274,9991,17292,6066,12359,11669,3253,1707,12828,13437,15677,9681,12102,2422,3267,12667,11647,4752,17174
9,11070,15905,17327,13173,7709,10538,11511,4218,11725,12133,3261,13817,530,938,12635,3575,17278,3504,823,12879
10,13003,14121,3493,16503,2404,8356,3981,5995,7567,11680,17344,11423,17754,3584,12129,6164,11,7626,352,5728
11,7626,878,8198,8768,10,16787,3493,8990,3501,10896,2571,6991,14715,12669,11763,13741,17296,1235,17080,10578
12,90,10671,14720,9941,14689,17107,15713,16577,16645,15613,12332,4536,5335,17290,2994,14023,17727,5019,1778,3494
13,3589,10352,1924,15060,16854,10590,17630,17413,13354,10772,12229,14478,3609,2614,12463,12780,13038,15178,3359,5373
14,8252,15543,15192,13630,9362,12968,8203,2742,16374,10056,6774,11782,6841,5690,3989,13834,1577,8103,11233,7731
15,8279,16528,8013,5927,12049,4549,4424,13105,590,5370,9584,17590,15144,2818,16455,16402,10220,3973,9071,9688
16,16232,5481,16348,15377,11938,14002,7217,3090,1116,5236,4007,11865,16298,6193,10165,10209,17168,17243,6239,16523
